944	-9664
945	3296
946	-7456
947	1760
948	-1968
949	4368
950	-560
951	1680
952	13664
953	-4080
954	4640
955	1152
956	-14960
957	1376
958	1328
959	-1072
960	4480
961	14096
962	-4480
963	1984
964	-1040
965	-2736
966	-1904
967	-272
968	6128
969	-6464
970	-3616
971	13664
972	-5568
973	3792
974	-6192
975	-1968
976	4928
977	-240
978	-288
979	8704
980	2128
981	18576
982	1072
983	-9232
984	2976
985	2816
986	704
987	3872
988	-976
989	-6848
990	288
991	-4288
992	-2464
993	-1248
994	-400
995	-2448
996	5920
997	1152
998	2800
999	2544
1000	-2864
1001	4320
1002	-880
1003	-4464
1004	-11056
1005	5984
1006	2608
1007	-3872
1008	3904
1009	32
1010	6032
1011	-7104
1012	1408
1013	-3152
1014	-1712
1015	9360
1016	-2912
1017	1280
1018	2576
1019	-688
1020	64
1021	1184
1022	-1680
1023	688
1024	304
1025	592
1026	-1664
1027	128
1028	-320
1029	-1664
1030	3104
1031	-976
1032	864
1033	-384
1034	1216
1035	192
1036	-1440
1037	512
1038	-880
1039	592
1040	4864
1041	-1488
1042	-2032
1043	-1664
1044	304
1045	2016
1046	320
1047	2128
1048	-1584
1049	-960
1050	208
1051	-688
1052	-224
1053	-2112
1054	576
1055	960
1056	-96
1057	560
1058	576
1059	208
1060	-992
1061	1360
1062	-864
1063	-96
1064	496
1065	1104
1066	896
1067	112
1068	-496
1069	-496
1070	752
1071	-528
1072	-480
1073	-1568
1074	-592
1075	1856
1076	-496
1077	-176
1078	-656
1079	-288
1080	-80
1081	-256
1082	2320
1083	-48
1084	-1040
1085	784
1086	-912
1087	976
1088	-608
1089	-96
1090	560
1091	1072
1092	-240
1093	-48
1094	1104
1095	112
1096	416
1097	-512
1098	-672
1099	160
1100	752
1101	-368
1102	-576
1103	-320
1104	1024
1105	-64
1106	640
1107	144
1108	-192
1109	592
1110	160
1111	-368
1112	-240
1113	-592
1114	-160
1115	832
1116	-304
1117	-784
1118	416
1119	-768
1120	432
1121	-224
1122	352
1123	288
1124	288
1125	-576
1126	-48
1127	-320
1128	-608
1129	-1040
1130	1136
1131	320
1132	-352
1133	-1520
1134	208
1135	304
1136	-240
1137	-1440
1138	256
1139	96
1140	1712
