396	-384
397	-160
398	176
399	208
400	112
401	-1344
402	608
403	2032
404	288
405	496
406	512
407	-480
408	224
409	-2560
410	-688
411	320
412	944
413	736
414	1536
415	-1936
416	784
417	592
418	864
419	-1520
420	-320
421	816
422	-1696
423	352
424	464
425	1632
426	368
427	-112
428	224
429	-1840
430	416
431	-2512
432	-1488
433	1008
434	2000
435	-1664
436	-3968
437	-1200
438	2016
439	2112
440	576
441	9536
442	5136
443	9552
444	-1920
445	-4080
446	-5824
447	8160
448	2080
449	-29808
450	-9216
451	-5584
452	-1872
453	-720
454	11184
455	12384
456	-5104
457	544
458	8480
459	-832
460	-1808
461	3008
462	-12592
463	10912
464	-5120
465	-12112
466	11808
467	1920
468	15408
469	10208
470	256
471	2624
472	1312
473	10864
474	-10048
475	-3824
476	1440
477	21120
478	1344
479	-4176
480	-32768
481	640
482	7280
483	-8352
484	11856
485	3520
486	512
487	-8416
488	-464
489	18656
490	-17648
491	26384
492	13216
493	18848
494	1392
495	1712
496	4144
497	12592
498	-11520
499	4944
500	-5776
501	-240
502	14048
503	2336
504	11024
505	1120
506	8864
507	2448
508	5504
509	12128
510	11824
511	4272
512	544
513	1664
514	1952
515	48
516	-5200
517	9040
518	10208
519	5968
520	1536
521	-1008
522	-400
523	96
524	-912
525	16
526	-4160
527	3792
528	-5232
529	464
530	320
531	656
532	-64
533	112
534	-352
