Clusters    120 240 360 480 600 720 840 960 1080    1200
AR3 48.278056879    88.4541586399   128.265029497   169.398277578   221.400427799   242.753021669   279.046324615   322.080826483   348.977105894   380.766270533
AR4 52.231576252    101.268022346   150.920107031   197.541242838   243.075506468   288.695784883   337.693924799   378.367687607   421.714365797   471.016481476
AR6 73.090376358    134.17257266    198.439263372   262.303541641   324.167512331   385.799842167   446.171435137   507.103762341   564.752557354   625.733055515
AR8 85.3855949116   166.838576393   249.004508486   334.793481598   409.668506832   477.529056368   551.509086933   624.590829401   777.069634094   796.57549983
AR10    107.025096235   212.751293468   304.789862471   397.509333315   493.605836582   590.461379852   702.512751236   817.718947916   922.439107134   1720.50835205   


