4	1010.77367289	916.710384745	1104.83696103
5	438.715083463	338.133939601	539.296227326
6	579.988465133	506.636965993	653.339964273
7	602.952686832	520.504230551	685.401143113
8	1023.5479399	950.814427811	1096.281452
9	650.701517041	557.495586152	743.907447929
10	1059.61800444	992.165953181	1127.0700557
11	1012.14170577	952.201711343	1072.08170019
12	1209.77328827	1142.76951102	1276.77706552
13	1017.32132563	962.46853798	1072.17411329
14	1628.46401355	1547.72349464	1709.20453246
15	1580.67288041	1499.30317575	1662.04258507
16	1441.34165998	1351.663216	1531.02010397
17	1622.66616718	1481.74441711	1763.58791724
18	1712.02498835	1640.75472726	1783.29524944
19	2008.86290066	1920.09069693	2097.63510439
20	2037.4013478	1945.46130866	2129.34138694
21	2447.83403906	2275.42600013	2620.24207799
22	2045.73244351	1937.43689191	2154.02799512
23	2220.80626085	2075.98595178	2365.62656993
24	2236.448441	2074.85201554	2398.04486646
25	2087.78003601	1970.42920684	2205.13086519
26	2314.74442026	2105.82120366	2523.66763687
27	2026.30520031	1960.36750953	2092.2428911
28	2246.84800894	1999.50001529	2494.1960026
29	1948.34489794	1881.4736396	2015.21615627
30	2313.3272289	2164.3130503	2462.34140749
